药物,药物编号,药物的链接
Donepezil hydrochloride,D00670,https://www.kegg.jp/entry/D00670
Rivastigmine,D03822,https://www.kegg.jp/entry/D03822
Rivastigmine tartrate,D02558,https://www.kegg.jp/entry/D02558
Galantamine hydrobromide,D02173,https://www.kegg.jp/entry/D02173
Memantine hydrochloride,D04905,https://www.kegg.jp/entry/D04905
Aducanumab,D10541,https://www.kegg.jp/entry/D10541
Lecanemab,D11678,https://www.kegg.jp/entry/D11678
Donanemab,D11500,https://www.kegg.jp/entry/D11500
Memantine and donepezil,D11387,https://www.kegg.jp/entry/D11387
Benzgalantamine gluconate,D12931,https://www.kegg.jp/entry/D12931
Insulin human,D03230,https://www.kegg.jp/entry/D03230
Insulin lispro,D04477,https://www.kegg.jp/entry/D04477
Insulin aspart,D04475,https://www.kegg.jp/entry/D04475
Insulin glulisine,D04540,https://www.kegg.jp/entry/D04540
Insulin glargine,D03250,https://www.kegg.jp/entry/D03250
Insulin detemir,D04539,https://www.kegg.jp/entry/D04539
Insulin degludec,D09727,https://www.kegg.jp/entry/D09727
Pramlintide acetate,D05595,https://www.kegg.jp/entry/D05595
Teplizumab,D09013,https://www.kegg.jp/entry/D09013
Dasiglucagon,D11359,https://www.kegg.jp/entry/D11359
Dasiglucagon hydrochloride,D12314,https://www.kegg.jp/entry/D12314
Donislecel,D12634,https://www.kegg.jp/entry/D12634
Triamcinolone acetonide,D00983,https://www.kegg.jp/entry/D00983
Lusutrombopag,D10476,https://www.kegg.jp/entry/D10476
Avatrombopag maleate,D10307,https://www.kegg.jp/entry/D10307
Spironolactone,D00443,https://www.kegg.jp/entry/D00443
Dichlorphenamide,D00518,https://www.kegg.jp/entry/D00518
Potassium chloride,D02060,https://www.kegg.jp/entry/D02060
Aspirin,D00109,https://www.kegg.jp/entry/D00109
Clopidogrel bisulfate,D00769,https://www.kegg.jp/entry/D00769
Prasugrel hydrochloride,D05597,https://www.kegg.jp/entry/D05597
Ticagrelor,D09017,https://www.kegg.jp/entry/D09017
Cangrelor tetrasodium,D03361,https://www.kegg.jp/entry/D03361
Vorapaxar sulfate,D09766,https://www.kegg.jp/entry/D09766
Reteplase,D05721,https://www.kegg.jp/entry/D05721
Norepinephrine bitartrate,D05206,https://www.kegg.jp/entry/D05206
Dopamine hydrochloride,D00633,https://www.kegg.jp/entry/D00633
Nitroglycerin,D00515,https://www.kegg.jp/entry/D00515
Niacin,D00049,https://www.kegg.jp/entry/D00049
Propranolol hydrochloride,D00483,https://www.kegg.jp/entry/D00483
Metoprolol tartrate,D00601,https://www.kegg.jp/entry/D00601
Atenolol,D00235,https://www.kegg.jp/entry/D00235
Lovastatin,D00359,https://www.kegg.jp/entry/D00359
Atorvastatin calcium,D02258,https://www.kegg.jp/entry/D02258
Alirocumab,D10335,https://www.kegg.jp/entry/D10335
Divalproex sodium,D00304,https://www.kegg.jp/entry/D00304
Lamotrigine,D00354,https://www.kegg.jp/entry/D00354
Chlorpromazine hydrochloride,D00789,https://www.kegg.jp/entry/D00789
Lumateperone tosylate,D11170,https://www.kegg.jp/entry/D11170
Ziprasidone hydrochloride,D01939,https://www.kegg.jp/entry/D01939
Lurasidone hydrochloride,D04820,https://www.kegg.jp/entry/D04820
Loxapine,D02340,https://www.kegg.jp/entry/D02340
Olanzapine,D00454,https://www.kegg.jp/entry/D00454
Quetiapine fumarate,D00458,https://www.kegg.jp/entry/D00458
Asenapine maleate,D02995,https://www.kegg.jp/entry/D02995
Olanzapine and samidorphan,D12117,https://www.kegg.jp/entry/D12117
Lithium carbonate,D00801,https://www.kegg.jp/entry/D00801
Risperidone,D00426,https://www.kegg.jp/entry/D00426
Aripiprazole,D01164,https://www.kegg.jp/entry/D01164
Aripiprazole hydrate,D10516,https://www.kegg.jp/entry/D10516
Cariprazine hydrochloride,D09876,https://www.kegg.jp/entry/D09876
Dexmedetomidine hydrochloride,D01205,https://www.kegg.jp/entry/D01205
Fluoxetine hydrochloride,D00823,https://www.kegg.jp/entry/D00823
Olanzapine and fluoxetine hydrochloride,D10206,https://www.kegg.jp/entry/D10206
Fenfluramine hydrochloride,D04148,https://www.kegg.jp/entry/D04148
Clonazepam,D00280,https://www.kegg.jp/entry/D00280
Rufinamide,D05775,https://www.kegg.jp/entry/D05775
Cannabidiol,D10915,https://www.kegg.jp/entry/D10915
