涉及疾病,涉及疾病的编号,疾病描述
Alzheimer disease,H00056,"Alzheimer disease (AD) is a chronic disorder that slowly destroys neurons and causes serious cognitive disability. AD is associated with senile plaques and neurofibrillary tangles (NFTs). Amyloid-beta (Abeta), a major component of senile plaques, has various pathological effects on cell and organelle function. To date genetic studies have revealed four genes that may be linked to autosomal dominant or familial early onset AD (FAD). These four genes include: amyloid precursor protein (APP), presenilin 1 (PS1), presenilin 2 (PS2), and apolipoprotein E (ApoE). All mutations associated with APP and PS proteins can lead to an increase in the production of Abeta peptides, specifically the more amyloidogenic form, Abeta42. It was proposed that Abeta forms Ca2+ permeable pores and binds to and modulates multiple synaptic proteins, including NMDAR, mGluR5, and VGCC, leading to the overfilling of neurons with calcium ions. Consequently, cellular Ca2+ disruptions will lead to neuronal apoptosis, autophagy deficits, mitochondrial abnormality, defective neurotransmission, impaired synaptic plasticity, and neurodegeneration in AD. FAD-linked PS1 mutation downregulates the unfolded protein response and leads to vulnerability to ER stress."
Cerebral amyloid angiopathy,H01185,"Cerebral amyloid angiopathy (CAA) is characterized by the deposition of congophilic material in the vessels of the cortex and leptomeninges. Although CAA most commonly appears in a sporadic form associated with aging, several familial forms of CAA reported to date. Hereditary cystatin C amyloid angiopathy (HCCAA) is a rare, fatal amyloid disease in young people in Iceland caused by a mutation in cystatin C, which is an inhibitor of several cysteine proteinases. It has also been reported that mutations in APP are linked to CAA."
Sturge-Weber syndrome,H01809,"Sturge-Weber syndrome (SWS) is a rare sporadic neurocutaneous syndrome the hallmark of which is a facial port-wine stain (PWS) involving the first division of the trigeminal nerve, ipsilateral leptomeningeal angiomata, and angioma of the eye (leading to glaucoma). The clinical course is highly variable but usually progressive course in early childhood characterised by seizures, stroke-like episodes, headaches, neurological and cognitive deterioration, hemiparesis, glaucoma and visual field defects. Although patients with a PWS plus leptomeningeal involvement alone are generally diagnosed as having SWS, those with a facial PWS and glaucoma alone are usually classified separately or considered as having partial SWS. Leptomeningeal and choroidal vascular anomalies have also been described in the absence of a PWS and may represent another partial variant of SWS. A somatic activating missense mutation in the GNAQ gene was recently identified in affected tissues (both skin and brain). This gene encodes the Q-class G protein alpha-subunit, activation of which increases MAPK signaling. Standard treatment includes laser therapy for the birthmark, control of glaucoma through eyedrops or surgery, and the use of anticonvulsants. Treatment with an anticonvulsant or low-dose aspirin or both before the onset of seizures is an option."
Early infantile epileptic encephalopathy,H00606,"Early infantile epileptic encephalopathy (EIEE), also known as developmental and epileptic encephalopathy (DEE), is characterized by frequent tonic spasms of early onset within a few months of life, and a suppression-burst pattern in electroencephalography (EEG). Many causes have been considered for EIEE. It has been reported that 75% of the cases subsequently evolve to West syndrome, and later a much smaller number progress to Lennox-Gastaut syndrome."
Malignant migrating partial seizures in infancy,H01815,"Malignant migrating partial seizures in infancy (MMPSI) are rare, severe early infantile onset epileptic encephalopathy. The common clinical features are seizure onset within the first 6 months of life, occurrence of migrating polymorphic focal seizures, and progressive deterioration of psychomotor development. Seizures in MMPSI are refractory to conventional treatment with anti-epileptic drugs (AEDs). Early and multiple video/EEG recordings are critical to detect the characteristic multifocal and asynchronous long lasting ictal discharges and are essential for MMPSI diagnosis. MMPSI is a genetically heterogeneous disorder with few known etiologies. Recently, mutations of several genes have been reported in sporadic cases of MMPSI."
Spondylometaphyseal dysplasia,H02185,"The spondylometaphyseal dysplasias (SMD) are a group of short-stature disorders distinguished by abnormalities in the vertebrae and the metaphyses of the tubular bones. Aside from the most common SMD Kozlowski type (SMDK) and the second most common SMD corner fracture type (SMDCF), there are several rare subtypes and numerous unclassifiable cases of SMD."
Auriculocondylar syndrome,H01884,"Auriculocondylar syndrome (ACS) is a rare craniofacial malformation syndrome characterized by mandibular hypoplasia and question-mark ears (QME). QMEs, consisting of a specific defect at the lobe-helix junction, can also occur as an isolated anomaly. Studies have indicated the essential role of endothelin 1 (EDN1) signaling through the endothelin receptor type A (EDNRA) in patterning the mandibular portion of the first pharyngeal arch. Mutations in the PLCB4 and GNAI3, predicted to function as signal transducers downstream of EDNRA, have recently been reported in ACS."
Spinocerebellar ataxia (SCA),H00063,"The autosomal dominant spinocerebellar ataxias (SCAs) are a group of progressive neurodegenerative diseases characterised by loss of balance and motor coordination due to the primary dysfunction of the cerebellum. Compelling evidence points to major aetiological roles for transcriptional dysregulation, protein aggregation and clearance, autophagy, the ubiquitin-proteasome system, alterations of calcium homeostasis, mitochondria defects, toxic RNA gain-of-function mechanisms and eventual cell death with apoptotic features of neurons during SCA disease progression."
Isolated anhidrosis with normal sweat glands,H02281,"Anhidrosis is defined as the absence of perspiration in the presence of an appropriate stimulus such as heat, exercise, or pharmacological agonists. Isolated anhidrosis with normal sweat glands (ANHD) is very rare autosomal recessive anhidrosis. A homozygous missense mutation in ITPR2 has been identified in all affected family members. ITPR2 encodes a Ca2+ release channel in the endoplasmic reticulum."
Charcot-Marie-Tooth disease,H00264,"Charcot-Marie-Tooth (CMT) disease, also called hereditary motor and sensory neuropathy (HMSN), is a group of disorders characterized by a chronic motor and sensory polyneuropathy. Based on nerve conduction velocities, the disease can be divided into demyelinating CMT (CMT1), axonal CMT (CMT2) and intermediate CMT (CMTDI/CMTRI). Although more than 70 disease genes for CMT are known, a large number of affected individuals remain without a genetic diagnosis."
