类型,类型ID
Alzheimer disease,nt06460
Pathways of neurodegeneration,nt06466
Unfolded protein response,nt06534
Parkinson disease,nt06463
Dopamine and serotonin metabolism,nt06028
Amyotrophic lateral sclerosis,nt06464
Huntington disease,nt06461
Spinocerebellar ataxia,nt06462
Prion disease,nt06465
Calcium signaling,nt06528
Autophagy,nt06532
Kaposi sarcoma-associated herpesvirus (KSHV),nt06164
Mitophagy,nt06536
Apoptosis,nt06524
Hepatocellular carcinoma,nt06263
Apoptosis (cancer),nt06231
Human immunodeficiency virus 1 (HIV-1),nt06161
Hepatitis B virus (HBV),nt06162
Hepatitis C virus (HCV),nt06163
Herpes simplex virus 1 (HSV-1),nt06168
Human cytomegalovirus (HCMV),nt06167
Epstein-Barr virus (EBV),nt06165
Colorectal cancer,nt06260
Small cell lung cancer,nt06267
Influenza A virus (IAV),nt06170
Human papillomavirus (HPV),nt06166
Mitochondrial ROS formation (cancer),nt06252
