涉及疾病,涉及疾病的编号,涉及疾病的通路,通路编号
Alzheimer disease,H00056,Alzheimer disease,hsa05010
Cerebral amyloid angiopathy; Hereditary cerebral hemorrhage with amyloidosis,H01185,Serotonergic synapse,hsa04726
Early infantile epileptic encephalopathy; Developmental and epileptic encephalopathy; Ohtahara syndrome,H00606,Calcium signaling pathway,hsa04020
Spondylometaphyseal dysplasia,H02185,Cytoskeleton in muscle cells,hsa04820
Spinocerebellar ataxia (SCA),H00063,Calcium signaling pathway,hsa04020
Isolated anhidrosis with normal sweat glands; Dann-Epstein-Sohar syndrome,H02281,Calcium signaling pathway,hsa04020
Charcot-Marie-Tooth disease; Hereditary motor and sensory neuropathy,H00264,Autophagy - animal,hsa04140
Charcot-Marie-Tooth disease; Hereditary motor and sensory neuropathy,H00264,Mitophagy - animal,hsa04137
Charcot-Marie-Tooth disease; Hereditary motor and sensory neuropathy,H00264,Cytoskeleton in muscle cells,hsa04820
Charcot-Marie-Tooth disease; Hereditary motor and sensory neuropathy,H00264,Aminoacyl-tRNA biosynthesis,hsa00970
Type 1 diabetes mellitus,H00408,Th17 cell differentiation,hsa04659
Type 1 diabetes mellitus,H00408,Th1 and Th2 cell differentiation,hsa04658
Type 1 diabetes mellitus,H00408,Intestinal immune network for IgA production,hsa04672
Type 1 diabetes mellitus,H00408,Cytokine-cytokine receptor interaction,hsa04060
Type 1 diabetes mellitus,H00408,JAK-STAT signaling pathway,hsa04630
Type 1 diabetes mellitus,H00408,PI3K-Akt signaling pathway,hsa04151
Mitochondrial DNA depletion syndrome,H00469,Nucleotide metabolism,hsa01232
Mitochondrial DNA depletion syndrome,H00469,Base excision repair,hsa03410
Mitochondrial DNA depletion syndrome,H00469,Mitophagy - animal,hsa04137
Progressive external ophthalmoplegia; Autosomal dominant progressive external ophthalmoplegia,H01118,Base excision repair,hsa03410
Thrombocytopenia (THC),H00978,Apoptosis,hsa04210
Frontotemporal lobar degeneration,H00078,Wnt signaling pathway,hsa04310
Frontotemporal lobar degeneration,H00078,Notch signaling pathway,hsa04330
Dilated cardiomyopathy,H00294,Calcium signaling pathway,hsa04020
Dilated cardiomyopathy,H00294,Cytoskeleton in muscle cells,hsa04820
Acne inversa; Hidradenitis suppurativa,H00681,Notch signaling pathway,hsa04330
Spinocerebellar ataxia (SCA),H00063,Calcium signaling pathway,hsa04020
Isolated anhidrosis with normal sweat glands; Dann-Epstein-Sohar syndrome,H02281,Calcium signaling pathway,hsa04020
Charcot-Marie-Tooth disease; Hereditary motor and sensory neuropathy,H00264,Autophagy - animal,hsa04140
Charcot-Marie-Tooth disease; Hereditary motor and sensory neuropathy,H00264,Mitophagy - animal,hsa04137
Charcot-Marie-Tooth disease; Hereditary motor and sensory neuropathy,H00264,Cytoskeleton in muscle cells,hsa04820
Charcot-Marie-Tooth disease; Hereditary motor and sensory neuropathy,H00264,Aminoacyl-tRNA biosynthesis,hsa00970
Type 1 diabetes mellitus,H00408,Th17 cell differentiation,hsa04659
Type 1 diabetes mellitus,H00408,Th1 and Th2 cell differentiation,hsa04658
Type 1 diabetes mellitus,H00408,Intestinal immune network for IgA production,hsa04672
Type 1 diabetes mellitus,H00408,Cytokine-cytokine receptor interaction,hsa04060
Type 1 diabetes mellitus,H00408,JAK-STAT signaling pathway,hsa04630
Type 1 diabetes mellitus,H00408,PI3K-Akt signaling pathway,hsa04151
Mitochondrial DNA depletion syndrome,H00469,Nucleotide metabolism,hsa01232
Mitochondrial DNA depletion syndrome,H00469,Base excision repair,hsa03410
Mitochondrial DNA depletion syndrome,H00469,Mitophagy - animal,hsa04137
Progressive external ophthalmoplegia; Autosomal dominant progressive external ophthalmoplegia,H01118,Base excision repair,hsa03410
Thrombocytopenia (THC),H00978,Apoptosis,hsa04210
Frontotemporal lobar degeneration,H00078,Wnt signaling pathway,hsa04310
Frontotemporal lobar degeneration,H00078,Notch signaling pathway,hsa04330
Dilated cardiomyopathy,H00294,Calcium signaling pathway,hsa04020
Dilated cardiomyopathy,H00294,Cytoskeleton in muscle cells,hsa04820
Acne inversa; Hidradenitis suppurativa,H00681,Notch signaling pathway,hsa04330
Dilated cardiomyopathy,H00294,Calcium signaling pathway,hsa04020
Dilated cardiomyopathy,H00294,Cytoskeleton in muscle cells,hsa04820
Congenital myopathy,H01810,Calcium signaling pathway,hsa04020
Congenital myopathy,H01810,Cytoskeleton in muscle cells,hsa04820
Mitochondrial DNA depletion syndrome,H00469,Nucleotide metabolism,hsa01232
Mitochondrial DNA depletion syndrome,H00469,Base excision repair,hsa03410
Mitochondrial DNA depletion syndrome,H00469,Mitophagy - animal,hsa04137
Progressive external ophthalmoplegia; Autosomal dominant progressive external ophthalmoplegia,H01118,Base excision repair,hsa03410
Thrombocytopenia (THC),H00978,Apoptosis,hsa04210
Cerebral amyloid angiopathy; Hereditary cerebral hemorrhage with amyloidosis,H01185,Serotonergic synapse,hsa04726
Prune belly syndrome; Triad syndrome; Eagle-Barret syndrome; Abdominal musculature deficiency syndrome,H02129,Neuroactive ligand-receptor interaction,hsa04080
Prune belly syndrome; Triad syndrome; Eagle-Barret syndrome; Abdominal musculature deficiency syndrome,H02129,Calcium signaling pathway,hsa04020
Early infantile epileptic encephalopathy; Developmental and epileptic encephalopathy; Ohtahara syndrome,H00606,Calcium signaling pathway,hsa04020
Spondylometaphyseal dysplasia,H02185,Cytoskeleton in muscle cells,hsa04820
Spinocerebellar ataxia (SCA),H00063,Calcium signaling pathway,hsa04020
Isolated anhidrosis with normal sweat glands; Dann-Epstein-Sohar syndrome,H02281,Calcium signaling pathway,hsa04020
Charcot-Marie-Tooth disease; Hereditary motor and sensory neuropathy,H00264,Autophagy - animal,hsa04140
Charcot-Marie-Tooth disease; Hereditary motor and sensory neuropathy,H00264,Mitophagy - animal,hsa04137
Charcot-Marie-Tooth disease; Hereditary motor and sensory neuropathy,H00264,Cytoskeleton in muscle cells,hsa04820
Charcot-Marie-Tooth disease; Hereditary motor and sensory neuropathy,H00264,Aminoacyl-tRNA biosynthesis,hsa00970
Type 1 diabetes mellitus,H00408,Th17 cell differentiation,hsa04659
Type 1 diabetes mellitus,H00408,Th1 and Th2 cell differentiation,hsa04658
Type 1 diabetes mellitus,H00408,Intestinal immune network for IgA production,hsa04672
Type 1 diabetes mellitus,H00408,Cytokine-cytokine receptor interaction,hsa04060
Type 1 diabetes mellitus,H00408,JAK-STAT signaling pathway,hsa04630
Type 1 diabetes mellitus,H00408,PI3K-Akt signaling pathway,hsa04151
Mitochondrial DNA depletion syndrome,H00469,Nucleotide metabolism,hsa01232
Mitochondrial DNA depletion syndrome,H00469,Base excision repair,hsa03410
Mitochondrial DNA depletion syndrome,H00469,Mitophagy - animal,hsa04137
Progressive external ophthalmoplegia; Autosomal dominant progressive external ophthalmoplegia,H01118,Base excision repair,hsa03410
Thrombocytopenia (THC),H00978,Apoptosis,hsa04210
Cerebral amyloid angiopathy; Hereditary cerebral hemorrhage with amyloidosis,H01185,Serotonergic synapse,hsa04726
Long QT syndrome,H00720,Calcium signaling pathway,hsa04020
Brugada syndrome,H00728,Calcium signaling pathway,hsa04020
Primary aldosteronism,H01603,Calcium signaling pathway,hsa04020
Sinoatrial node dysfunction and deafness,H02636,Calcium signaling pathway,hsa04020
Cone-rod dystrophy and cone dystrophy,H00481,Calcium signaling pathway,hsa04020
Aland Island eye disease; Forsius-Eriksson syndrome,H00690,Calcium signaling pathway,hsa04020
Congenital stationary night blindness,H00787,Calcium signaling pathway,hsa04020
Periodic paralysis,H00215,Calcium signaling pathway,hsa04020
Hypokalemic periodic paralysis,H00746,MAPK signaling pathway,hsa04010
Hypokalemic periodic paralysis,H00746,Calcium signaling pathway,hsa04020
Hypokalemic periodic paralysis,H00746,Cardiac muscle contraction,hsa04260
Hypokalemic periodic paralysis,H00746,Vascular smooth muscle contraction,hsa04270
Hypokalemic periodic paralysis,H00746,Cholinergic synapse,hsa04725
Hypokalemic periodic paralysis,H00746,GABAergic synapse,hsa04727
Hypokalemic periodic paralysis,H00746,GnRH signaling pathway,hsa04912
Congenital myopathy,H01810,Calcium signaling pathway,hsa04020
Congenital myopathy,H01810,Cytoskeleton in muscle cells,hsa04820
Mitochondrial DNA depletion syndrome,H00469,Nucleotide metabolism,hsa01232
Mitochondrial DNA depletion syndrome,H00469,Base excision repair,hsa03410
Mitochondrial DNA depletion syndrome,H00469,Mitophagy - animal,hsa04137
Progressive external ophthalmoplegia; Autosomal dominant progressive external ophthalmoplegia,H01118,Base excision repair,hsa03410
Thrombocytopenia (THC),H00978,Apoptosis,hsa04210
Cerebral amyloid angiopathy; Hereditary cerebral hemorrhage with amyloidosis,H01185,Serotonergic synapse,hsa04726
Mitochondrial DNA depletion syndrome,H00469,Nucleotide metabolism,hsa01232
Mitochondrial DNA depletion syndrome,H00469,Base excision repair,hsa03410
Mitochondrial DNA depletion syndrome,H00469,Mitophagy - animal,hsa04137
Progressive external ophthalmoplegia; Autosomal dominant progressive external ophthalmoplegia,H01118,Base excision repair,hsa03410
Thrombocytopenia (THC),H00978,Apoptosis,hsa04210
Cerebral amyloid angiopathy; Hereditary cerebral hemorrhage with amyloidosis,H01185,Serotonergic synapse,hsa04726
Early infantile epileptic encephalopathy; Developmental and epileptic encephalopathy; Ohtahara syndrome,H00606,Calcium signaling pathway,hsa04020
Autosomal dominant intellectual developmental disorder; Autosomal dominant mental retardation,H00773,Cell cycle,hsa04110
Autosomal dominant intellectual developmental disorder; Autosomal dominant mental retardation,H00773,Calcium signaling pathway,hsa04020
Autosomal dominant intellectual developmental disorder; Autosomal dominant mental retardation,H00773,PI3K-Akt signaling pathway,hsa04151
Neurodevelopmental disorder with glutamatergic synapse dysfunction,H02705,Glutamatergic synapse,hsa04724
Neurodevelopmental disorder with glutamatergic synapse dysfunction,H02705,Calcium signaling pathway,hsa04020
Landau-Kleffner syndrome,H01514,Calcium signaling pathway,hsa04020
"Rolandic epilepsy, mental retardation, and speech dyspraxia",H01827,Glutamatergic synapse,hsa04724
Early infantile epileptic encephalopathy; Developmental and epileptic encephalopathy; Ohtahara syndrome,H00606,Calcium signaling pathway,hsa04020
Autosomal dominant intellectual developmental disorder; Autosomal dominant mental retardation,H00773,Cell cycle,hsa04110
Autosomal dominant intellectual developmental disorder; Autosomal dominant mental retardation,H00773,Calcium signaling pathway,hsa04020
Autosomal dominant intellectual developmental disorder; Autosomal dominant mental retardation,H00773,PI3K-Akt signaling pathway,hsa04151
Early infantile epileptic encephalopathy; Developmental and epileptic encephalopathy; Ohtahara syndrome,H00606,Calcium signaling pathway,hsa04020
Mitochondrial DNA depletion syndrome,H00469,Nucleotide metabolism,hsa01232
Mitochondrial DNA depletion syndrome,H00469,Base excision repair,hsa03410
Mitochondrial DNA depletion syndrome,H00469,Mitophagy - animal,hsa04137
Progressive external ophthalmoplegia; Autosomal dominant progressive external ophthalmoplegia,H01118,Base excision repair,hsa03410
Thrombocytopenia (THC),H00978,Apoptosis,hsa04210
Cerebral amyloid angiopathy; Hereditary cerebral hemorrhage with amyloidosis,H01185,Serotonergic synapse,hsa04726
Neurodevelopmental disorder with defects of ubiquitin-proteasome system,H02715,Ubiquitin mediated proteolysis,hsa04120
Neurodevelopmental disorder with defects of ubiquitin-proteasome system,H02715,Proteasome,hsa03050
Proteasome-associated autoinflammatory syndrome,H02532,Proteasome,hsa03050
Neurodevelopmental disorder with defects of ubiquitin-proteasome system,H02715,Ubiquitin mediated proteolysis,hsa04120
Neurodevelopmental disorder with defects of ubiquitin-proteasome system,H02715,Proteasome,hsa03050
"Deafness, cataract, impaired intellectual development, and polyneuropathy",H02634,Proteasome,hsa03050
Neurodevelopmental disorder with defects of ubiquitin-proteasome system,H02715,Ubiquitin mediated proteolysis,hsa04120
Neurodevelopmental disorder with defects of ubiquitin-proteasome system,H02715,Proteasome,hsa03050
Frontotemporal lobar degeneration,H00078,Wnt signaling pathway,hsa04310
Frontotemporal lobar degeneration,H00078,Notch signaling pathway,hsa04330
Dilated cardiomyopathy,H00294,Calcium signaling pathway,hsa04020
Dilated cardiomyopathy,H00294,Cytoskeleton in muscle cells,hsa04820
Acne inversa; Hidradenitis suppurativa,H00681,Notch signaling pathway,hsa04330
Wolcott-Rallison syndrome,H00766,Protein processing in endoplasmic reticulum,hsa04141
Frontotemporal lobar degeneration,H00078,Wnt signaling pathway,hsa04310
Frontotemporal lobar degeneration,H00078,Notch signaling pathway,hsa04330
Dilated cardiomyopathy,H00294,Calcium signaling pathway,hsa04020
Dilated cardiomyopathy,H00294,Cytoskeleton in muscle cells,hsa04820
Acne inversa; Hidradenitis suppurativa,H00681,Notch signaling pathway,hsa04330
Cerebral amyloid angiopathy; Hereditary cerebral hemorrhage with amyloidosis,H01185,Serotonergic synapse,hsa04726
Lennox-Gastaut syndrome,H01813,MAPK signaling pathway,hsa04010
Lennox-Gastaut syndrome,H01813,"Growth hormone synthesis, secretion and action",hsa04935
Lennox-Gastaut syndrome,H01813,Dopaminergic synapse,hsa04728
Frontotemporal lobar degeneration,H00078,Wnt signaling pathway,hsa04310
Frontotemporal lobar degeneration,H00078,Notch signaling pathway,hsa04330
Dilated cardiomyopathy,H00294,Calcium signaling pathway,hsa04020
Dilated cardiomyopathy,H00294,Cytoskeleton in muscle cells,hsa04820
Acne inversa; Hidradenitis suppurativa,H00681,Notch signaling pathway,hsa04330
Achromatopsia; Rod monochromacy,H00971,Purine metabolism,hsa00230
Achromatopsia; Rod monochromacy,H00971,cAMP signaling pathway,hsa04024
Achromatopsia; Rod monochromacy,H00971,Phototransduction,hsa04744
Cerebral amyloid angiopathy; Hereditary cerebral hemorrhage with amyloidosis,H01185,Serotonergic synapse,hsa04726
Hodgkin lymphoma,H00007,Epstein-Barr virus infection,hsa05169
Esophageal cancer,H00017,Cell cycle,hsa04110
Esophageal cancer,H00017,Cellular senescence,hsa04218
Autoimmune lymphoproliferative syndromes,H00108,Apoptosis,hsa04210
Autoimmune lymphoproliferative syndromes,H00108,Necroptosis,hsa04217
Autoimmune lymphoproliferative syndromes,H00108,T cell receptor signaling pathway,hsa04660
Disorders of innate immunity,H02525,JAK-STAT signaling pathway,hsa04630
Disorders of innate immunity,H02525,TNF signaling pathway,hsa04668
Disorders of innate immunity,H02525,RIG-I-like receptor signaling pathway,hsa04622
Disorders of innate immunity,H02525,Necroptosis,hsa04217
Hepatocellular carcinoma; Liver cancer,H00048,Wnt signaling pathway,hsa04310
Hepatocellular carcinoma; Liver cancer,H00048,Calcium signaling pathway,hsa04020
Hepatocellular carcinoma; Liver cancer,H00048,PI3K-Akt signaling pathway,hsa04151
Autoimmune lymphoproliferative syndromes,H00108,Apoptosis,hsa04210
Autoimmune lymphoproliferative syndromes,H00108,Necroptosis,hsa04217
Autoimmune lymphoproliferative syndromes,H00108,T cell receptor signaling pathway,hsa04660
Colorectal cancer,H00020,Wnt signaling pathway,hsa04310
Colorectal cancer,H00020,TGF-beta signaling pathway,hsa04350
Colorectal cancer,H00020,Apoptosis,hsa04210
Thrombocytopenia (THC),H00978,Apoptosis,hsa04210
Cerebral amyloid angiopathy; Hereditary cerebral hemorrhage with amyloidosis,H01185,Serotonergic synapse,hsa04726
Penile cancer,H00025,Human papillomavirus infection,hsa05165
Noonan syndrome and related disorders,H00523,Ras signaling pathway,hsa04014
Noonan syndrome and related disorders,H00523,MAPK signaling pathway,hsa04010
Noonan syndrome and related disorders,H00523,Insulin signaling pathway,hsa04910
Noonan syndrome and related disorders,H00523,EGFR tyrosine kinase inhibitor resistance,hsa01521
Noonan syndrome and related disorders,H00523,ErbB signaling pathway,hsa04012
Noonan syndrome and related disorders,H00523,Natural killer cell mediated cytotoxicity,hsa04650
Noonan syndrome and related disorders,H00523,Regulation of actin cytoskeleton,hsa04810
Giant cell tumor of bone,H01470,Osteoclast differentiation,hsa04380
Medullary thyroid cancer,H01592,MAPK signaling pathway,hsa04010
Costello syndrome,H01747,Ras signaling pathway,hsa04014
Epidermal nevus; Sebaceous nevus,H02627,PI3K-Akt signaling pathway,hsa04151
Schimmelpenning-Feuerstein-Mims syndrome,H02628,PI3K-Akt signaling pathway,hsa04151
Schimmelpenning-Feuerstein-Mims syndrome,H02628,Ras signaling pathway,hsa04014
Non-small cell lung cancer,H00014,Calcium signaling pathway,hsa04020
Colorectal cancer,H00020,Wnt signaling pathway,hsa04310
Colorectal cancer,H00020,TGF-beta signaling pathway,hsa04350
Colorectal cancer,H00020,Apoptosis,hsa04210
Ovarian cancer,H00027,PI3K-Akt signaling pathway,hsa04151
Ovarian cancer,H00027,Thyroid hormone signaling pathway,hsa04919
Syndromic craniosynostoses,H00458,Regulation of actin cytoskeleton,hsa04810
Syndromic craniosynostoses,H00458,Ras signaling pathway,hsa04014
Syndromic craniosynostoses,H00458,PI3K-Akt signaling pathway,hsa04151
Syndromic craniosynostoses,H00458,Rap1 signaling pathway,hsa04015
Noonan syndrome and related disorders,H00523,Ras signaling pathway,hsa04014
Noonan syndrome and related disorders,H00523,MAPK signaling pathway,hsa04010
Noonan syndrome and related disorders,H00523,Insulin signaling pathway,hsa04910
Noonan syndrome and related disorders,H00523,EGFR tyrosine kinase inhibitor resistance,hsa01521
Noonan syndrome and related disorders,H00523,ErbB signaling pathway,hsa04012
Noonan syndrome and related disorders,H00523,Natural killer cell mediated cytotoxicity,hsa04650
Noonan syndrome and related disorders,H00523,Regulation of actin cytoskeleton,hsa04810
Medullary thyroid cancer,H01592,MAPK signaling pathway,hsa04010
Noonan syndrome,H01738,MAPK signaling pathway,hsa04010
Noonan syndrome,H01738,Ras signaling pathway,hsa04014
Cardiofaciocutaneous syndrome,H01745,MAPK signaling pathway,hsa04010
Myelodysplastic/myeloproliferative neoplasms,H02410,Spliceosome,hsa03040
Chronic myelomonocytic leukemia,H02411,Spliceosome,hsa03040
Juvenile myelomonocytic leukemia,H02541,MAPK signaling pathway,hsa04010
Juvenile myelomonocytic leukemia,H02541,Ras signaling pathway,hsa04014
Schimmelpenning-Feuerstein-Mims syndrome,H02628,PI3K-Akt signaling pathway,hsa04151
Schimmelpenning-Feuerstein-Mims syndrome,H02628,Ras signaling pathway,hsa04014
Adrenal carcinoma,H00033,Aldosterone synthesis and secretion,hsa04925
Autoimmune lymphoproliferative syndromes,H00108,Apoptosis,hsa04210
Autoimmune lymphoproliferative syndromes,H00108,Necroptosis,hsa04217
Autoimmune lymphoproliferative syndromes,H00108,T cell receptor signaling pathway,hsa04660
Noonan syndrome and related disorders,H00523,Ras signaling pathway,hsa04014
Noonan syndrome and related disorders,H00523,MAPK signaling pathway,hsa04010
Noonan syndrome and related disorders,H00523,Insulin signaling pathway,hsa04910
Noonan syndrome and related disorders,H00523,EGFR tyrosine kinase inhibitor resistance,hsa01521
Noonan syndrome and related disorders,H00523,ErbB signaling pathway,hsa04012
Noonan syndrome and related disorders,H00523,Natural killer cell mediated cytotoxicity,hsa04650
Noonan syndrome and related disorders,H00523,Regulation of actin cytoskeleton,hsa04810
Noonan syndrome,H01738,MAPK signaling pathway,hsa04010
Noonan syndrome,H01738,Ras signaling pathway,hsa04014
Myelodysplastic/myeloproliferative neoplasms,H02410,Spliceosome,hsa03040
Chronic myelomonocytic leukemia,H02411,Spliceosome,hsa03040
Juvenile myelomonocytic leukemia,H02541,MAPK signaling pathway,hsa04010
Juvenile myelomonocytic leukemia,H02541,Ras signaling pathway,hsa04014
Epidermal nevus; Sebaceous nevus,H02627,PI3K-Akt signaling pathway,hsa04151
Schimmelpenning-Feuerstein-Mims syndrome,H02628,PI3K-Akt signaling pathway,hsa04151
Schimmelpenning-Feuerstein-Mims syndrome,H02628,Ras signaling pathway,hsa04014
Non-small cell lung cancer,H00014,Calcium signaling pathway,hsa04020
Colorectal cancer,H00020,Wnt signaling pathway,hsa04310
Colorectal cancer,H00020,TGF-beta signaling pathway,hsa04350
Colorectal cancer,H00020,Apoptosis,hsa04210
Noonan syndrome and related disorders,H00523,Ras signaling pathway,hsa04014
Noonan syndrome and related disorders,H00523,MAPK signaling pathway,hsa04010
Noonan syndrome and related disorders,H00523,Insulin signaling pathway,hsa04910
Noonan syndrome and related disorders,H00523,EGFR tyrosine kinase inhibitor resistance,hsa01521
Noonan syndrome and related disorders,H00523,ErbB signaling pathway,hsa04012
Noonan syndrome and related disorders,H00523,Natural killer cell mediated cytotoxicity,hsa04650
Noonan syndrome and related disorders,H00523,Regulation of actin cytoskeleton,hsa04810
Noonan syndrome,H01738,MAPK signaling pathway,hsa04010
Noonan syndrome,H01738,Ras signaling pathway,hsa04014
