涉及疾病,涉及疾病的编号,药物,药物编号,药物链接
Alzheimer disease,H00056,Donepezil hydrochloride,D00670,https://www.kegg.jp/entry/D00670
Alzheimer disease,H00056,Rivastigmine,D03822,https://www.kegg.jp/entry/D03822
Alzheimer disease,H00056,Rivastigmine tartrate,D02558,https://www.kegg.jp/entry/D02558
Alzheimer disease,H00056,Galantamine hydrobromide,D02173,https://www.kegg.jp/entry/D02173
Alzheimer disease,H00056,Memantine hydrochloride,D04905,https://www.kegg.jp/entry/D04905
Alzheimer disease,H00056,Aducanumab,D10541,https://www.kegg.jp/entry/D10541
Alzheimer disease,H00056,Lecanemab,D11678,https://www.kegg.jp/entry/D11678
Alzheimer disease,H00056,Donanemab,D11500,https://www.kegg.jp/entry/D11500
Alzheimer disease,H00056,Memantine and donepezil,D11387,https://www.kegg.jp/entry/D11387
Alzheimer disease,H00056,Benzgalantamine gluconate,D12931,https://www.kegg.jp/entry/D12931
Type 1 diabetes mellitus,H00408,Insulin human,D03230,https://www.kegg.jp/entry/D03230
Type 1 diabetes mellitus,H00408,Insulin lispro,D04477,https://www.kegg.jp/entry/D04477
Type 1 diabetes mellitus,H00408,Insulin aspart,D04475,https://www.kegg.jp/entry/D04475
Type 1 diabetes mellitus,H00408,Insulin glulisine,D04540,https://www.kegg.jp/entry/D04540
Type 1 diabetes mellitus,H00408,Insulin glargine,D03250,https://www.kegg.jp/entry/D03250
Type 1 diabetes mellitus,H00408,Insulin detemir,D04539,https://www.kegg.jp/entry/D04539
Type 1 diabetes mellitus,H00408,Insulin degludec,D09727,https://www.kegg.jp/entry/D09727
Type 1 diabetes mellitus,H00408,Pramlintide acetate,D05595,https://www.kegg.jp/entry/D05595
Type 1 diabetes mellitus,H00408,Teplizumab,D09013,https://www.kegg.jp/entry/D09013
Type 1 diabetes mellitus,H00408,Dasiglucagon,D11359,https://www.kegg.jp/entry/D11359
Type 1 diabetes mellitus,H00408,Dasiglucagon hydrochloride,D12314,https://www.kegg.jp/entry/D12314
Type 1 diabetes mellitus,H00408,Donislecel,D12634,https://www.kegg.jp/entry/D12634
Thrombocytopenia (THC),H00978,Triamcinolone acetonide,D00983,https://www.kegg.jp/entry/D00983
Thrombocytopenia (THC),H00978,Lusutrombopag,D10476,https://www.kegg.jp/entry/D10476
Thrombocytopenia (THC),H00978,Avatrombopag maleate,D10307,https://www.kegg.jp/entry/D10307
Alzheimer disease,H00056,Donepezil hydrochloride,D00670,https://www.kegg.jp/entry/D00670
Alzheimer disease,H00056,Rivastigmine,D03822,https://www.kegg.jp/entry/D03822
Alzheimer disease,H00056,Rivastigmine tartrate,D02558,https://www.kegg.jp/entry/D02558
Alzheimer disease,H00056,Galantamine hydrobromide,D02173,https://www.kegg.jp/entry/D02173
Alzheimer disease,H00056,Memantine hydrochloride,D04905,https://www.kegg.jp/entry/D04905
Alzheimer disease,H00056,Aducanumab,D10541,https://www.kegg.jp/entry/D10541
Alzheimer disease,H00056,Lecanemab,D11678,https://www.kegg.jp/entry/D11678
Alzheimer disease,H00056,Donanemab,D11500,https://www.kegg.jp/entry/D11500
Alzheimer disease,H00056,Memantine and donepezil,D11387,https://www.kegg.jp/entry/D11387
Alzheimer disease,H00056,Benzgalantamine gluconate,D12931,https://www.kegg.jp/entry/D12931
Acne inversa,H00681,Adalimumab,D02597,https://www.kegg.jp/entry/D02597
Type 1 diabetes mellitus,H00408,Insulin human,D03230,https://www.kegg.jp/entry/D03230
Type 1 diabetes mellitus,H00408,Insulin lispro,D04477,https://www.kegg.jp/entry/D04477
Type 1 diabetes mellitus,H00408,Insulin aspart,D04475,https://www.kegg.jp/entry/D04475
Type 1 diabetes mellitus,H00408,Insulin glulisine,D04540,https://www.kegg.jp/entry/D04540
Type 1 diabetes mellitus,H00408,Insulin glargine,D03250,https://www.kegg.jp/entry/D03250
Type 1 diabetes mellitus,H00408,Insulin detemir,D04539,https://www.kegg.jp/entry/D04539
Type 1 diabetes mellitus,H00408,Insulin degludec,D09727,https://www.kegg.jp/entry/D09727
Type 1 diabetes mellitus,H00408,Pramlintide acetate,D05595,https://www.kegg.jp/entry/D05595
Type 1 diabetes mellitus,H00408,Teplizumab,D09013,https://www.kegg.jp/entry/D09013
Type 1 diabetes mellitus,H00408,Dasiglucagon,D11359,https://www.kegg.jp/entry/D11359
Type 1 diabetes mellitus,H00408,Dasiglucagon hydrochloride,D12314,https://www.kegg.jp/entry/D12314
Type 1 diabetes mellitus,H00408,Donislecel,D12634,https://www.kegg.jp/entry/D12634
Thrombocytopenia (THC),H00978,Triamcinolone acetonide,D00983,https://www.kegg.jp/entry/D00983
Thrombocytopenia (THC),H00978,Lusutrombopag,D10476,https://www.kegg.jp/entry/D10476
Thrombocytopenia (THC),H00978,Avatrombopag maleate,D10307,https://www.kegg.jp/entry/D10307
Alzheimer disease,H00056,Donepezil hydrochloride,D00670,https://www.kegg.jp/entry/D00670
Alzheimer disease,H00056,Rivastigmine,D03822,https://www.kegg.jp/entry/D03822
Alzheimer disease,H00056,Rivastigmine tartrate,D02558,https://www.kegg.jp/entry/D02558
Alzheimer disease,H00056,Galantamine hydrobromide,D02173,https://www.kegg.jp/entry/D02173
Alzheimer disease,H00056,Memantine hydrochloride,D04905,https://www.kegg.jp/entry/D04905
Alzheimer disease,H00056,Aducanumab,D10541,https://www.kegg.jp/entry/D10541
Alzheimer disease,H00056,Lecanemab,D11678,https://www.kegg.jp/entry/D11678
Alzheimer disease,H00056,Donanemab,D11500,https://www.kegg.jp/entry/D11500
Alzheimer disease,H00056,Memantine and donepezil,D11387,https://www.kegg.jp/entry/D11387
Alzheimer disease,H00056,Benzgalantamine gluconate,D12931,https://www.kegg.jp/entry/D12931
Acne inversa,H00681,Adalimumab,D02597,https://www.kegg.jp/entry/D02597
Alzheimer disease,H00056,Donepezil hydrochloride,D00670,https://www.kegg.jp/entry/D00670
Alzheimer disease,H00056,Rivastigmine,D03822,https://www.kegg.jp/entry/D03822
Alzheimer disease,H00056,Rivastigmine tartrate,D02558,https://www.kegg.jp/entry/D02558
Alzheimer disease,H00056,Galantamine hydrobromide,D02173,https://www.kegg.jp/entry/D02173
Alzheimer disease,H00056,Memantine hydrochloride,D04905,https://www.kegg.jp/entry/D04905
Alzheimer disease,H00056,Aducanumab,D10541,https://www.kegg.jp/entry/D10541
Alzheimer disease,H00056,Lecanemab,D11678,https://www.kegg.jp/entry/D11678
Alzheimer disease,H00056,Donanemab,D11500,https://www.kegg.jp/entry/D11500
Alzheimer disease,H00056,Memantine and donepezil,D11387,https://www.kegg.jp/entry/D11387
Alzheimer disease,H00056,Benzgalantamine gluconate,D12931,https://www.kegg.jp/entry/D12931
Thrombocytopenia (THC),H00978,Triamcinolone acetonide,D00983,https://www.kegg.jp/entry/D00983
Thrombocytopenia (THC),H00978,Lusutrombopag,D10476,https://www.kegg.jp/entry/D10476
Thrombocytopenia (THC),H00978,Avatrombopag maleate,D10307,https://www.kegg.jp/entry/D10307
Alzheimer disease,H00056,Donepezil hydrochloride,D00670,https://www.kegg.jp/entry/D00670
Alzheimer disease,H00056,Rivastigmine,D03822,https://www.kegg.jp/entry/D03822
Alzheimer disease,H00056,Rivastigmine tartrate,D02558,https://www.kegg.jp/entry/D02558
Alzheimer disease,H00056,Galantamine hydrobromide,D02173,https://www.kegg.jp/entry/D02173
Alzheimer disease,H00056,Memantine hydrochloride,D04905,https://www.kegg.jp/entry/D04905
Alzheimer disease,H00056,Aducanumab,D10541,https://www.kegg.jp/entry/D10541
Alzheimer disease,H00056,Lecanemab,D11678,https://www.kegg.jp/entry/D11678
Alzheimer disease,H00056,Donanemab,D11500,https://www.kegg.jp/entry/D11500
Alzheimer disease,H00056,Memantine and donepezil,D11387,https://www.kegg.jp/entry/D11387
Alzheimer disease,H00056,Benzgalantamine gluconate,D12931,https://www.kegg.jp/entry/D12931
Type 1 diabetes mellitus,H00408,Insulin human,D03230,https://www.kegg.jp/entry/D03230
Type 1 diabetes mellitus,H00408,Insulin lispro,D04477,https://www.kegg.jp/entry/D04477
Type 1 diabetes mellitus,H00408,Insulin aspart,D04475,https://www.kegg.jp/entry/D04475
Type 1 diabetes mellitus,H00408,Insulin glulisine,D04540,https://www.kegg.jp/entry/D04540
Type 1 diabetes mellitus,H00408,Insulin glargine,D03250,https://www.kegg.jp/entry/D03250
Type 1 diabetes mellitus,H00408,Insulin detemir,D04539,https://www.kegg.jp/entry/D04539
Type 1 diabetes mellitus,H00408,Insulin degludec,D09727,https://www.kegg.jp/entry/D09727
Type 1 diabetes mellitus,H00408,Pramlintide acetate,D05595,https://www.kegg.jp/entry/D05595
Type 1 diabetes mellitus,H00408,Teplizumab,D09013,https://www.kegg.jp/entry/D09013
Type 1 diabetes mellitus,H00408,Dasiglucagon,D11359,https://www.kegg.jp/entry/D11359
Type 1 diabetes mellitus,H00408,Dasiglucagon hydrochloride,D12314,https://www.kegg.jp/entry/D12314
Type 1 diabetes mellitus,H00408,Donislecel,D12634,https://www.kegg.jp/entry/D12634
Thrombocytopenia (THC),H00978,Triamcinolone acetonide,D00983,https://www.kegg.jp/entry/D00983
Thrombocytopenia (THC),H00978,Lusutrombopag,D10476,https://www.kegg.jp/entry/D10476
Thrombocytopenia (THC),H00978,Avatrombopag maleate,D10307,https://www.kegg.jp/entry/D10307
Alzheimer disease,H00056,Donepezil hydrochloride,D00670,https://www.kegg.jp/entry/D00670
Alzheimer disease,H00056,Rivastigmine,D03822,https://www.kegg.jp/entry/D03822
Alzheimer disease,H00056,Rivastigmine tartrate,D02558,https://www.kegg.jp/entry/D02558
Alzheimer disease,H00056,Galantamine hydrobromide,D02173,https://www.kegg.jp/entry/D02173
Alzheimer disease,H00056,Memantine hydrochloride,D04905,https://www.kegg.jp/entry/D04905
Alzheimer disease,H00056,Aducanumab,D10541,https://www.kegg.jp/entry/D10541
