涉及疾病,涉及疾病的编号,网络,网络ID
Alzheimer disease,H00056,Alzheimer disease,nt06460
Alzheimer disease,H00056,Pathways of neurodegeneration,nt06466
Alzheimer disease,H00056,Unfolded protein response,nt06534
Alzheimer disease,H00056,Efferocytosis,nt06535
Early infantile epileptic encephalopathy,H00606,Chromosome cohesion and segregation,nt06512
Early infantile epileptic encephalopathy,H00606,Calcium signaling,nt06528
Spondylometaphyseal dysplasia,H02185,Hormone/cytokine signaling,nt06325
Spondylometaphyseal dysplasia,H02185,Cytoskeleton in muscle cells,nt06539
Auriculocondylar syndrome,H01884,Hormone/cytokine signaling,nt06325
Spinocerebellar ataxia (SCA),H00063,Spinocerebellar ataxia,nt06462
Spinocerebellar ataxia (SCA),H00063,Pathways of neurodegeneration,nt06466
Spinocerebellar ataxia (SCA),H00063,Calcium signaling,nt06528
Spinocerebellar ataxia (SCA),H00063,Autophagy,nt06532
Isolated anhidrosis with normal sweat glands,H02281,Calcium signaling,nt06528
Charcot-Marie-Tooth disease,H00264,DNA replication,nt06509
Charcot-Marie-Tooth disease,H00264,Regulation of kinetochore-microtubule interactions,nt06515
Charcot-Marie-Tooth disease,H00264,Autophagy,nt06532
Charcot-Marie-Tooth disease,H00264,Mitophagy,nt06536
Charcot-Marie-Tooth disease,H00264,Cytoskeleton in muscle cells,nt06539
Type 1 diabetes mellitus,H00408,Hormone/cytokine signaling,nt06325
Mitochondrial DNA depletion syndrome,H00469,Base excision repair,nt06504
Mitochondrial DNA depletion syndrome,H00469,Mitophagy,nt06536
Progressive external ophthalmoplegia,H01118,Base excision repair,nt06504
Progressive external ophthalmoplegia,H01118,DNA replication,nt06509
Thrombocytopenia (THC),H00978,Apoptosis,nt06524
Alzheimer disease,H00056,Alzheimer disease,nt06460
Alzheimer disease,H00056,Pathways of neurodegeneration,nt06466
Alzheimer disease,H00056,Unfolded protein response,nt06534
Alzheimer disease,H00056,Efferocytosis,nt06535
Dilated cardiomyopathy,H00294,Calcium signaling,nt06528
Dilated cardiomyopathy,H00294,Cytoskeleton in muscle cells,nt06539
Acne inversa,H00681,NOTCH signaling,nt06511
Spinocerebellar ataxia (SCA),H00063,Spinocerebellar ataxia,nt06462
Spinocerebellar ataxia (SCA),H00063,Pathways of neurodegeneration,nt06466
Spinocerebellar ataxia (SCA),H00063,Calcium signaling,nt06528
Spinocerebellar ataxia (SCA),H00063,Autophagy,nt06532
Isolated anhidrosis with normal sweat glands,H02281,Calcium signaling,nt06528
Charcot-Marie-Tooth disease,H00264,DNA replication,nt06509
Charcot-Marie-Tooth disease,H00264,Regulation of kinetochore-microtubule interactions,nt06515
Charcot-Marie-Tooth disease,H00264,Autophagy,nt06532
Charcot-Marie-Tooth disease,H00264,Mitophagy,nt06536
Charcot-Marie-Tooth disease,H00264,Cytoskeleton in muscle cells,nt06539
Type 1 diabetes mellitus,H00408,Hormone/cytokine signaling,nt06325
Mitochondrial DNA depletion syndrome,H00469,Base excision repair,nt06504
Mitochondrial DNA depletion syndrome,H00469,Mitophagy,nt06536
Progressive external ophthalmoplegia,H01118,Base excision repair,nt06504
Progressive external ophthalmoplegia,H01118,DNA replication,nt06509
Thrombocytopenia (THC),H00978,Apoptosis,nt06524
Alzheimer disease,H00056,Alzheimer disease,nt06460
Alzheimer disease,H00056,Pathways of neurodegeneration,nt06466
Alzheimer disease,H00056,Unfolded protein response,nt06534
Alzheimer disease,H00056,Efferocytosis,nt06535
Dilated cardiomyopathy,H00294,Calcium signaling,nt06528
Dilated cardiomyopathy,H00294,Cytoskeleton in muscle cells,nt06539
Acne inversa,H00681,NOTCH signaling,nt06511
Alzheimer disease,H00056,Alzheimer disease,nt06460
Alzheimer disease,H00056,Pathways of neurodegeneration,nt06466
Alzheimer disease,H00056,Unfolded protein response,nt06534
Alzheimer disease,H00056,Efferocytosis,nt06535
Dilated cardiomyopathy,H00294,Calcium signaling,nt06528
Dilated cardiomyopathy,H00294,Cytoskeleton in muscle cells,nt06539
Congenital myopathy,H01810,Calcium signaling,nt06528
Congenital myopathy,H01810,Efferocytosis,nt06535
Congenital myopathy,H01810,Cytoskeleton in muscle cells,nt06539
Mitochondrial DNA depletion syndrome,H00469,Base excision repair,nt06504
Mitochondrial DNA depletion syndrome,H00469,Mitophagy,nt06536
Progressive external ophthalmoplegia,H01118,Base excision repair,nt06504
Progressive external ophthalmoplegia,H01118,DNA replication,nt06509
Thrombocytopenia (THC),H00978,Apoptosis,nt06524
Alzheimer disease,H00056,Alzheimer disease,nt06460
Alzheimer disease,H00056,Pathways of neurodegeneration,nt06466
Alzheimer disease,H00056,Unfolded protein response,nt06534
Alzheimer disease,H00056,Efferocytosis,nt06535
Early infantile epileptic encephalopathy,H00606,Chromosome cohesion and segregation,nt06512
Early infantile epileptic encephalopathy,H00606,Calcium signaling,nt06528
Spondylometaphyseal dysplasia,H02185,Hormone/cytokine signaling,nt06325
Spondylometaphyseal dysplasia,H02185,Cytoskeleton in muscle cells,nt06539
Auriculocondylar syndrome,H01884,Hormone/cytokine signaling,nt06325
Spinocerebellar ataxia (SCA),H00063,Spinocerebellar ataxia,nt06462
Spinocerebellar ataxia (SCA),H00063,Pathways of neurodegeneration,nt06466
Spinocerebellar ataxia (SCA),H00063,Calcium signaling,nt06528
Spinocerebellar ataxia (SCA),H00063,Autophagy,nt06532
Isolated anhidrosis with normal sweat glands,H02281,Calcium signaling,nt06528
Charcot-Marie-Tooth disease,H00264,DNA replication,nt06509
Charcot-Marie-Tooth disease,H00264,Regulation of kinetochore-microtubule interactions,nt06515
Charcot-Marie-Tooth disease,H00264,Autophagy,nt06532
Charcot-Marie-Tooth disease,H00264,Mitophagy,nt06536
Charcot-Marie-Tooth disease,H00264,Cytoskeleton in muscle cells,nt06539
Type 1 diabetes mellitus,H00408,Hormone/cytokine signaling,nt06325
Mitochondrial DNA depletion syndrome,H00469,Base excision repair,nt06504
Mitochondrial DNA depletion syndrome,H00469,Mitophagy,nt06536
Progressive external ophthalmoplegia,H01118,Base excision repair,nt06504
Progressive external ophthalmoplegia,H01118,DNA replication,nt06509
Thrombocytopenia (THC),H00978,Apoptosis,nt06524
Alzheimer disease,H00056,Alzheimer disease,nt06460
Alzheimer disease,H00056,Pathways of neurodegeneration,nt06466
Alzheimer disease,H00056,Unfolded protein response,nt06534
Alzheimer disease,H00056,Efferocytosis,nt06535
Long QT syndrome,H00720,Calcium signaling,nt06528
Brugada syndrome,H00728,Calcium signaling,nt06528
Neurodevelopmental disorder with movement abnormalities or hypotonia,H02397,Calcium signaling,nt06528
Primary aldosteronism,H01603,Renin-angiotensin-aldosterone signaling,nt06316
Primary aldosteronism,H01603,Calcium signaling,nt06528
Sinoatrial node dysfunction and deafness,H02636,Calcium signaling,nt06528
Cone-rod dystrophy and cone dystrophy,H00481,Calcium signaling,nt06528
Aland Island eye disease,H00690,Calcium signaling,nt06528
Congenital stationary night blindness,H00787,Calcium signaling,nt06528
Periodic paralysis,H00215,Calcium signaling,nt06528
Congenital myopathy,H01810,Calcium signaling,nt06528
Congenital myopathy,H01810,Efferocytosis,nt06535
Congenital myopathy,H01810,Cytoskeleton in muscle cells,nt06539
Mitochondrial DNA depletion syndrome,H00469,Base excision repair,nt06504
Mitochondrial DNA depletion syndrome,H00469,Mitophagy,nt06536
Progressive external ophthalmoplegia,H01118,Base excision repair,nt06504
Progressive external ophthalmoplegia,H01118,DNA replication,nt06509
Thrombocytopenia (THC),H00978,Apoptosis,nt06524
Alzheimer disease,H00056,Alzheimer disease,nt06460
Alzheimer disease,H00056,Pathways of neurodegeneration,nt06466
Alzheimer disease,H00056,Unfolded protein response,nt06534
Alzheimer disease,H00056,Efferocytosis,nt06535
Mitochondrial DNA depletion syndrome,H00469,Base excision repair,nt06504
Mitochondrial DNA depletion syndrome,H00469,Mitophagy,nt06536
Progressive external ophthalmoplegia,H01118,Base excision repair,nt06504
Progressive external ophthalmoplegia,H01118,DNA replication,nt06509
Thrombocytopenia (THC),H00978,Apoptosis,nt06524
Alzheimer disease,H00056,Alzheimer disease,nt06460
Alzheimer disease,H00056,Pathways of neurodegeneration,nt06466
Alzheimer disease,H00056,Unfolded protein response,nt06534
Alzheimer disease,H00056,Efferocytosis,nt06535
Early infantile epileptic encephalopathy,H00606,Chromosome cohesion and segregation,nt06512
Early infantile epileptic encephalopathy,H00606,Calcium signaling,nt06528
Autosomal dominant intellectual developmental disorder,H00773,Chromosome cohesion and segregation,nt06512
Autosomal dominant intellectual developmental disorder,H00773,Regulation of kinetochore-microtubule interactions,nt06515
Autosomal dominant intellectual developmental disorder,H00773,Epigenetic regulation by Polycomb complexes,nt06523
