基因名称,基因ID,涉及其他数据库,涉及其他数据的编号,涉及其他数据库的链接（若有多个网址用分号分隔）
APP amyloid beta precursor protein,351,NCBI-GeneID,351,https://www.ncbi.nlm.nih.gov/gene/351
APP amyloid beta precursor protein,351,NCBI-ProteinID,NP_000475,https://www.ncbi.nlm.nih.gov/protein/NP_000475
APP amyloid beta precursor protein,351,OMIM,104760,https://omim.org/entry/104760
APP amyloid beta precursor protein,351,HGNC,620,https://www.genenames.org/tools/search/#!/?query=%20620
APP amyloid beta precursor protein,351,Ensembl,ENSG00000142192,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000142192
APP amyloid beta precursor protein,351,CPD,C16514 C16515,https://www.kegg.jp/entry/hsa:351//entry/C16514; https://www.kegg.jp/entry/hsa:351//entry/C16515
APP amyloid beta precursor protein,351,UniProt,P05067 A0A140VJC8,https://www.uniprot.org/uniprot/P05067; https://www.uniprot.org/uniprot/A0A140VJC8
GRM5 glutamate metabotropic receptor 5,2915,NCBI-GeneID,2915,https://www.ncbi.nlm.nih.gov/gene/2915
GRM5 glutamate metabotropic receptor 5,2915,NCBI-ProteinID,NP_001137303,https://www.ncbi.nlm.nih.gov/protein/NP_001137303
GRM5 glutamate metabotropic receptor 5,2915,OMIM,604102,https://omim.org/entry/604102
GRM5 glutamate metabotropic receptor 5,2915,HGNC,4597,https://www.genenames.org/tools/search/#!/?query=%204597
GRM5 glutamate metabotropic receptor 5,2915,Ensembl,ENSG00000168959,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000168959
GRM5 glutamate metabotropic receptor 5,2915,UniProt,P41594,https://www.uniprot.org/uniprot/P41594
GNAQ G protein subunit alpha q,2776,NCBI-GeneID,2776,https://www.ncbi.nlm.nih.gov/gene/2776
GNAQ G protein subunit alpha q,2776,NCBI-ProteinID,NP_002063,https://www.ncbi.nlm.nih.gov/protein/NP_002063
GNAQ G protein subunit alpha q,2776,OMIM,600998,https://omim.org/entry/600998
GNAQ G protein subunit alpha q,2776,HGNC,4390,https://www.genenames.org/tools/search/#!/?query=%204390
GNAQ G protein subunit alpha q,2776,Ensembl,ENSG00000156052,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000156052
GNAQ G protein subunit alpha q,2776,UniProt,P50148 A0A024R240,https://www.uniprot.org/uniprot/P50148; https://www.uniprot.org/uniprot/A0A024R240
PLCB1 phospholipase C beta 1,23236,NCBI-GeneID,23236,https://www.ncbi.nlm.nih.gov/gene/23236
PLCB1 phospholipase C beta 1,23236,NCBI-ProteinID,NP_056007,https://www.ncbi.nlm.nih.gov/protein/NP_056007
PLCB1 phospholipase C beta 1,23236,OMIM,607120,https://omim.org/entry/607120
PLCB1 phospholipase C beta 1,23236,HGNC,15917,https://www.genenames.org/tools/search/#!/?query=%2015917
PLCB1 phospholipase C beta 1,23236,Ensembl,ENSG00000182621,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000182621
PLCB1 phospholipase C beta 1,23236,UniProt,Q9NQ66,https://www.uniprot.org/uniprot/Q9NQ66
PLCB2 phospholipase C beta 2,5330,NCBI-GeneID,5330,https://www.ncbi.nlm.nih.gov/gene/5330
PLCB2 phospholipase C beta 2,5330,NCBI-ProteinID,NP_004564,https://www.ncbi.nlm.nih.gov/protein/NP_004564
PLCB2 phospholipase C beta 2,5330,OMIM,604114,https://omim.org/entry/604114
PLCB2 phospholipase C beta 2,5330,HGNC,9055,https://www.genenames.org/tools/search/#!/?query=%209055
PLCB2 phospholipase C beta 2,5330,Ensembl,ENSG00000137841,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000137841
PLCB2 phospholipase C beta 2,5330,UniProt,Q00722 Q59F77,https://www.uniprot.org/uniprot/Q00722; https://www.uniprot.org/uniprot/Q59F77
PLCB3 phospholipase C beta 3,5331,NCBI-GeneID,5331,https://www.ncbi.nlm.nih.gov/gene/5331
PLCB3 phospholipase C beta 3,5331,NCBI-ProteinID,NP_000923,https://www.ncbi.nlm.nih.gov/protein/NP_000923
PLCB3 phospholipase C beta 3,5331,OMIM,600230,https://omim.org/entry/600230
PLCB3 phospholipase C beta 3,5331,HGNC,9056,https://www.genenames.org/tools/search/#!/?query=%209056
PLCB3 phospholipase C beta 3,5331,Ensembl,ENSG00000149782,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000149782
PLCB3 phospholipase C beta 3,5331,UniProt,Q01970,https://www.uniprot.org/uniprot/Q01970
PLCB4 phospholipase C beta 4,5332,NCBI-GeneID,5332,https://www.ncbi.nlm.nih.gov/gene/5332
PLCB4 phospholipase C beta 4,5332,NCBI-ProteinID,NP_877949,https://www.ncbi.nlm.nih.gov/protein/NP_877949
PLCB4 phospholipase C beta 4,5332,OMIM,600810,https://omim.org/entry/600810
PLCB4 phospholipase C beta 4,5332,HGNC,9059,https://www.genenames.org/tools/search/#!/?query=%209059
PLCB4 phospholipase C beta 4,5332,Ensembl,ENSG00000101333,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000101333
PLCB4 phospholipase C beta 4,5332,UniProt,Q15147,https://www.uniprot.org/uniprot/Q15147
"ITPR1 inositol 1,4,5-trisphosphate receptor type 1",3708,NCBI-GeneID,3708,https://www.ncbi.nlm.nih.gov/gene/3708
"ITPR1 inositol 1,4,5-trisphosphate receptor type 1",3708,NCBI-ProteinID,NP_001161744,https://www.ncbi.nlm.nih.gov/protein/NP_001161744
"ITPR1 inositol 1,4,5-trisphosphate receptor type 1",3708,OMIM,147265,https://omim.org/entry/147265
"ITPR1 inositol 1,4,5-trisphosphate receptor type 1",3708,HGNC,6180,https://www.genenames.org/tools/search/#!/?query=%206180
"ITPR1 inositol 1,4,5-trisphosphate receptor type 1",3708,Ensembl,ENSG00000150995,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000150995
"ITPR1 inositol 1,4,5-trisphosphate receptor type 1",3708,UniProt,Q14643,https://www.uniprot.org/uniprot/Q14643
"ITPR2 inositol 1,4,5-trisphosphate receptor type 2",3709,NCBI-GeneID,3709,https://www.ncbi.nlm.nih.gov/gene/3709
"ITPR2 inositol 1,4,5-trisphosphate receptor type 2",3709,NCBI-ProteinID,NP_002214,https://www.ncbi.nlm.nih.gov/protein/NP_002214
"ITPR2 inositol 1,4,5-trisphosphate receptor type 2",3709,OMIM,600144,https://omim.org/entry/600144
"ITPR2 inositol 1,4,5-trisphosphate receptor type 2",3709,HGNC,6181,https://www.genenames.org/tools/search/#!/?query=%206181
"ITPR2 inositol 1,4,5-trisphosphate receptor type 2",3709,Ensembl,ENSG00000123104,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000123104
"ITPR2 inositol 1,4,5-trisphosphate receptor type 2",3709,UniProt,Q14571,https://www.uniprot.org/uniprot/Q14571
"ITPR3 inositol 1,4,5-trisphosphate receptor type 3",3710,NCBI-GeneID,3710,https://www.ncbi.nlm.nih.gov/gene/3710
"ITPR3 inositol 1,4,5-trisphosphate receptor type 3",3710,NCBI-ProteinID,NP_002215,https://www.ncbi.nlm.nih.gov/protein/NP_002215
"ITPR3 inositol 1,4,5-trisphosphate receptor type 3",3710,OMIM,147267,https://omim.org/entry/147267
"ITPR3 inositol 1,4,5-trisphosphate receptor type 3",3710,HGNC,6182,https://www.genenames.org/tools/search/#!/?query=%206182
"ITPR3 inositol 1,4,5-trisphosphate receptor type 3",3710,Ensembl,ENSG00000096433,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000096433
