基因名称,基因ID,药物,药物编号,药物的链接
GRM5,2915,Fenobam,D04155,https://www.kegg.jp/entry/D04155
CASP9,842,Rimiducid,D11195,https://www.kegg.jp/entry/D11195
PSEN1,5663,Avagacestat,D09869,https://www.kegg.jp/entry/D09869
PSEN1,5663,Begacestat,D08869,https://www.kegg.jp/entry/D08869
PSEN1,5663,Crenigacestat,D11151,https://www.kegg.jp/entry/D11151
PSEN1,5663,Nirogacestat (DG03016),DG03016,https://www.kegg.jp/entry/DG03016
PSEN1,5663,Osugacestat,D12235,https://www.kegg.jp/entry/D12235
PSEN1,5663,Semagacestat,D09377,https://www.kegg.jp/entry/D09377
PSEN1,5663,Tarenflurbil,D09010,https://www.kegg.jp/entry/D09010
PSEN1,5663,Avagacestat,D09869,https://www.kegg.jp/entry/D09869
PSEN1,5663,Begacestat,D08869,https://www.kegg.jp/entry/D08869
PSEN1,5663,Crenigacestat,D11151,https://www.kegg.jp/entry/D11151
PSEN1,5663,Nirogacestat (DG03016),DG03016,https://www.kegg.jp/entry/DG03016
PSEN1,5663,Osugacestat,D12235,https://www.kegg.jp/entry/D12235
PSEN1,5663,Semagacestat,D09377,https://www.kegg.jp/entry/D09377
PSEN1,5663,Tarenflurbil,D09010,https://www.kegg.jp/entry/D09010
RYR3,6263,Aladorian (DG02040),DG02040,https://www.kegg.jp/entry/DG02040
CASP9,842,Rimiducid,D11195,https://www.kegg.jp/entry/D11195
CHRM1,1128,Aceclidine,D02750,https://www.kegg.jp/entry/D02750
CHRM1,1128,Acetylcholine (DG01133),DG01133,https://www.kegg.jp/entry/DG01133
CHRM1,1128,Aclatonium (DG01291),DG01291,https://www.kegg.jp/entry/DG01291
CHRM1,1128,Aclidinium bromide,D08837,https://www.kegg.jp/entry/D08837
CHRM1,1128,Alvameline maleate,D02876,https://www.kegg.jp/entry/D02876
CHRM1,1128,Anisotropine methylbromide,D00232,https://www.kegg.jp/entry/D00232
CHRM1,1128,Atropine (DG00052),DG00052,https://www.kegg.jp/entry/DG00052
CHRM1,1128,Atropine oxide (DG01243),DG01243,https://www.kegg.jp/entry/DG01243
CHRM1,1128,Batefenterol (DG01627),DG01627,https://www.kegg.jp/entry/DG01627
CHRM1,1128,Benapryzine hydrochloride,D03076,https://www.kegg.jp/entry/D03076
CHRM1,1128,Benzatropine (DG00859),DG00859,https://www.kegg.jp/entry/DG00859
CHRM1,1128,Benzetimide (DG01301),DG01301,https://www.kegg.jp/entry/DG01301
CHRM1,1128,Benzilone,D03088,https://www.kegg.jp/entry/D03088
CHRM1,1128,Bethanechol (DG00991),DG00991,https://www.kegg.jp/entry/DG00991
CHRM1,1128,Bevonium,D01532,https://www.kegg.jp/entry/D01532
CHRM1,1128,Biperiden (DG00852),DG00852,https://www.kegg.jp/entry/DG00852
CHRM1,1128,Blarcamesine (DG03048),DG03048,https://www.kegg.jp/entry/DG03048
CHRM1,1128,Bornaprine,D07302,https://www.kegg.jp/entry/D07302
CHRM1,1128,Butropium bromide,D01491,https://www.kegg.jp/entry/D01491
CHRM1,1128,Butylscopolamine,D01451,https://www.kegg.jp/entry/D01451
CHRM1,1128,Carbachol,D00524,https://www.kegg.jp/entry/D00524
CHRM1,1128,Carpronium (DG01289),DG01289,https://www.kegg.jp/entry/DG01289
CHRM1,1128,Chlorpromazine (DG00867),DG00867,https://www.kegg.jp/entry/DG00867
CHRM1,1128,Choline alfoscerate,D07349,https://www.kegg.jp/entry/D07349
CHRM1,1128,Cimetropium bromide,D07099,https://www.kegg.jp/entry/D07099
CHRM1,1128,Clidinium bromide,D00716,https://www.kegg.jp/entry/D00716
CHRM1,1128,Cyclopentolate (DG01141),DG01141,https://www.kegg.jp/entry/DG01141
CHRM1,1128,Darotropium bromide,D09402,https://www.kegg.jp/entry/D09402
CHRM1,1128,Dexetimide (DG00856),DG00856,https://www.kegg.jp/entry/DG00856
CHRM1,1128,Dicycloverine (DG00032),DG00032,https://www.kegg.jp/entry/DG00032
CHRM1,1128,Diethazine (DG01921),DG01921,https://www.kegg.jp/entry/DG01921
CHRM1,1128,Difemerine,D07079,https://www.kegg.jp/entry/D07079
CHRM1,1128,Dihexyverine (DG00033),DG00033,https://www.kegg.jp/entry/DG00033
CHRM1,1128,Diphenidol (DG02880),DG02880,https://www.kegg.jp/entry/DG02880
CHRM1,1128,Diphenylpiperidinomethyldioxolan iodide,D01600,https://www.kegg.jp/entry/D01600
CHRM1,1128,Diponium bromide,D01463,https://www.kegg.jp/entry/D01463
CHRM1,1128,Elantrine,D03970,https://www.kegg.jp/entry/D03970
CHRM1,1128,Elucaine,D03979,https://www.kegg.jp/entry/D03979
CHRM1,1128,Esoxybutynin chloride,D04057,https://www.kegg.jp/entry/D04057
CHRM1,1128,Etomidoline,D01359,https://www.kegg.jp/entry/D01359
CHRM1,1128,Etybenzatropine,D04087,https://www.kegg.jp/entry/D04087
CHRM1,1128,Eucatropine hydrochloride,D04116,https://www.kegg.jp/entry/D04116
CHRM1,1128,Fenpiverinium,D07070,https://www.kegg.jp/entry/D07070
CHRM1,1128,Fentonium,D07951,https://www.kegg.jp/entry/D07951
CHRM1,1128,Flutropium bromide,D02417,https://www.kegg.jp/entry/D02417
CHRM1,1128,Glycopyrronium (DG02467),DG02467,https://www.kegg.jp/entry/DG02467
CHRM1,1128,Heteronium bromide,D04434,https://www.kegg.jp/entry/D04434
CHRM1,1128,Homatropine (DG01142),DG01142,https://www.kegg.jp/entry/DG01142
CHRM1,1128,Homatropine methylbromide,D02070,https://www.kegg.jp/entry/D02070
CHRM1,1128,Hyoscyamine (DG00053),DG00053,https://www.kegg.jp/entry/DG00053
CHRM1,1128,Imidafenacin,D06273,https://www.kegg.jp/entry/D06273
CHRM1,1128,Ipratropium bromide,D02212,https://www.kegg.jp/entry/D02212
CHRM1,1128,Mazaticol (DG00857),DG00857,https://www.kegg.jp/entry/DG00857
CHRM1,1128,Mebeverine (DG00030),DG00030,https://www.kegg.jp/entry/DG00030
CHRM1,1128,Mepenzolate (DG00040),DG00040,https://www.kegg.jp/entry/DG00040
CHRM1,1128,Methacholine,D04970,https://www.kegg.jp/entry/D04970
CHRM1,1128,Methantheline (DG00036),DG00036,https://www.kegg.jp/entry/DG00036
CHRM1,1128,Methscopolamine bromide,D00715,https://www.kegg.jp/entry/D00715
CHRM1,1128,Methylatropine (DG01242),DG01242,https://www.kegg.jp/entry/DG01242
CHRM1,1128,Methylbenactyzium bromide,D01315,https://www.kegg.jp/entry/D01315
CHRM1,1128,Methylscopolamine,D01976,https://www.kegg.jp/entry/D01976
CHRM1,1128,Metixene (DG00853),DG00853,https://www.kegg.jp/entry/DG00853
CHRM1,1128,Metoquizine,D05012,https://www.kegg.jp/entry/D05012
CHRM1,1128,Milameline hydrochloride,D05035,https://www.kegg.jp/entry/D05035
CHRM1,1128,Otilonium bromide,D07083,https://www.kegg.jp/entry/D07083
CHRM1,1128,Oxapium iodide,D01815,https://www.kegg.jp/entry/D01815
CHRM1,1128,Oxitropium bromide,D01946,https://www.kegg.jp/entry/D01946
CHRM1,1128,Oxybutynin (DG00478),DG00478,https://www.kegg.jp/entry/DG00478
CHRM1,1128,Oxyphencyclimine (DG00029),DG00029,https://www.kegg.jp/entry/DG00029
CHRM1,1128,Oxyphenonium,D06877,https://www.kegg.jp/entry/D06877
CHRM1,1128,Parapenzolate bromide,D05360,https://www.kegg.jp/entry/D05360
CHRM1,1128,Pentapiperium methylsulfate,D05418,https://www.kegg.jp/entry/D05418
CHRM1,1128,Penthienate,D07081,https://www.kegg.jp/entry/D07081
CHRM1,1128,Phencarbamide,D05452,https://www.kegg.jp/entry/D05452
CHRM1,1128,Phenglutarimide,D07301,https://www.kegg.jp/entry/D07301
CHRM1,1128,Pipenzolate,D07084,https://www.kegg.jp/entry/D07084
CHRM1,1128,Piperidolate (DG00034),DG00034,https://www.kegg.jp/entry/DG00034
CHRM1,1128,Pipethanate (DG01255),DG01255,https://www.kegg.jp/entry/DG01255
CHRM1,1128,Pipethanate ethobromide,D01987,https://www.kegg.jp/entry/D01987
CHRM1,1128,Pirenzepine (DG00026),DG00026,https://www.kegg.jp/entry/DG00026
CHRM1,1128,Piroheptine (DG01272),DG01272,https://www.kegg.jp/entry/DG01272
CHRM1,1128,Poldine,D05535,https://www.kegg.jp/entry/D05535
CHRM1,1128,Pridinol (DG00774),DG00774,https://www.kegg.jp/entry/DG00774
CHRM1,1128,Prifinium bromide,D01377,https://www.kegg.jp/entry/D01377
CHRM1,1128,Procyclidine (DG00854),DG00854,https://www.kegg.jp/entry/DG00854
CHRM1,1128,Profenamine (DG00855),DG00855,https://www.kegg.jp/entry/DG00855
CHRM1,1128,Propantheline (DG00035),DG00035,https://www.kegg.jp/entry/DG00035
CHRM1,1128,Propenzolate hydrochloride,D05628,https://www.kegg.jp/entry/D05628
CHRM1,1128,Propiverine (DG00479),DG00479,https://www.kegg.jp/entry/DG00479
CHRM1,1128,Rapacuronium bromide,D05703,https://www.kegg.jp/entry/D05703
CHRM1,1128,Rocuronium bromide,D00765,https://www.kegg.jp/entry/D00765
CHRM1,1128,Sabcomeline hydrochloride,D05779,https://www.kegg.jp/entry/D05779
CHRM1,1128,Scopolamine (DG00065),DG00065,https://www.kegg.jp/entry/DG00065
CHRM1,1128,Talsaclidine fumarate,D06000,https://www.kegg.jp/entry/D06000
CHRM1,1128,Tazomeline citrate,D06015,https://www.kegg.jp/entry/D06015
CHRM1,1128,Telenzepine hydrochloride hydrate,D11098,https://www.kegg.jp/entry/D11098
CHRM1,1128,Tematropium methylsulfate,D06061,https://www.kegg.jp/entry/D06061
CHRM1,1128,Tiemonium (DG01254),DG01254,https://www.kegg.jp/entry/DG01254
CHRM1,1128,Tiemonium iodide,D01201,https://www.kegg.jp/entry/D01201
CHRM1,1128,Timepidium bromide (DG00041),DG00041,https://www.kegg.jp/entry/DG00041
CHRM1,1128,Tofenacin hydrochloride,D06175,https://www.kegg.jp/entry/D06175
CHRM1,1128,Toquizine,D06192,https://www.kegg.jp/entry/D06192
CHRM1,1128,Triampyzine sulfate,D06217,https://www.kegg.jp/entry/D06217
