疾病通路的编号,疾病名称,通路名称(Name),通路编号(Entry),文章引用（Title）,文章DOI,文章链接
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mGluR5-Ca2+ -apoptotic pathway,N01002,Relationship Between beta-Amyloid and Mitochondrial Dynamics.,10.1007/s10571-016-0434-4,https://doi.org/10.1007/s10571-016-0434-4
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mGluR5-Ca2+ -apoptotic pathway,N01002,Dysregulation of Intracellular Calcium Signaling in Alzheimer's Disease.,10.1007/s10571-016-0434-4,https://doi.org/10.1007/s10571-016-0434-4
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to mGluR5-Ca2+ -apoptotic pathway,N01008,The gain-of-function enhancement of IP3-receptor channel gating by familial Alzheimer's disease-linked presenilin mutants increases the open probability of mitochondrial permeability transition pore.,10.1016/j.ceca.2016.05.002,https://doi.org/10.1016/j.ceca.2016.05.002
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to mGluR5-Ca2+ -apoptotic pathway,N01008,Presenilins: role in calcium homeostasis.,10.1016/j.ceca.2016.05.002,https://doi.org/10.1016/j.ceca.2016.05.002
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to mGluR5-Ca2+ -apoptotic pathway,N01008,ER calcium and Alzheimer's disease: in a state of flux.,10.1016/j.ceca.2016.05.002,https://doi.org/10.1016/j.ceca.2016.05.002
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to mGluR5-Ca2+ -apoptotic pathway,N01008,Presenilin-mediated signal transduction.,10.1016/j.ceca.2016.05.002,https://doi.org/10.1016/j.ceca.2016.05.002
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN to mGluR5-Ca2+ -apoptotic pathway,N01007,PS2 mutation increases neuronal cell vulnerability to neurotoxicants through activation of caspase-3 by enhancing of ryanodine receptor-mediated calcium release.,10.1096/fj.05-4017fje;1,https://doi.org/10.1096/fj.05-4017fje;1
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN to mGluR5-Ca2+ -apoptotic pathway,N01007,Presenilins: role in calcium homeostasis.,10.1096/fj.05-4017fje;1,https://doi.org/10.1096/fj.05-4017fje;1
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN to mGluR5-Ca2+ -apoptotic pathway,N01007,Presenilin-mediated signal transduction.,10.1096/fj.05-4017fje;1,https://doi.org/10.1096/fj.05-4017fje;1
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mAchR-Ca2+ -apoptotic pathway,N01001,Role of GPCR signaling and calcium dysregulation in Alzheimer's disease.,10.1016/j.mcn.2019.103414,https://doi.org/10.1016/j.mcn.2019.103414
