基因名称,基因ID,类型,涉及通路,涉及通路的编号
APP,351,"Homo sapiens (human)
",Serotonergic synapse,hsa04726
APP,351,"Homo sapiens (human)
",Alzheimer disease,hsa05010
APP,351,"Homo sapiens (human)
",Pathways of neurodegeneration - multiple diseases,hsa05022
GRM5,2915,"Homo sapiens (human)
",Calcium signaling pathway,hsa04020
GRM5,2915,"Homo sapiens (human)
",Phospholipase D signaling pathway,hsa04072
GRM5,2915,"Homo sapiens (human)
",Neuroactive ligand-receptor interaction,hsa04080
GRM5,2915,"Homo sapiens (human)
",Gap junction,hsa04540
GRM5,2915,"Homo sapiens (human)
",Long-term potentiation,hsa04720
GRM5,2915,"Homo sapiens (human)
",Retrograde endocannabinoid signaling,hsa04723
GRM5,2915,"Homo sapiens (human)
",Glutamatergic synapse,hsa04724
GRM5,2915,"Homo sapiens (human)
",Alzheimer disease,hsa05010
GRM5,2915,"Homo sapiens (human)
",Huntington disease,hsa05016
GRM5,2915,"Homo sapiens (human)
",Pathways of neurodegeneration - multiple diseases,hsa05022
GNAQ,2776,"Homo sapiens (human)
",Rap1 signaling pathway,hsa04015
GNAQ,2776,"Homo sapiens (human)
",Calcium signaling pathway,hsa04020
GNAQ,2776,"Homo sapiens (human)
",cGMP-PKG signaling pathway,hsa04022
GNAQ,2776,"Homo sapiens (human)
",Chemokine signaling pathway,hsa04062
GNAQ,2776,"Homo sapiens (human)
",Sphingolipid signaling pathway,hsa04071
GNAQ,2776,"Homo sapiens (human)
",Adrenergic signaling in cardiomyocytes,hsa04261
GNAQ,2776,"Homo sapiens (human)
",Vascular smooth muscle contraction,hsa04270
GNAQ,2776,"Homo sapiens (human)
",Apelin signaling pathway,hsa04371
GNAQ,2776,"Homo sapiens (human)
",Gap junction,hsa04540
GNAQ,2776,"Homo sapiens (human)
",Platelet activation,hsa04611
GNAQ,2776,"Homo sapiens (human)
",Circadian entrainment,hsa04713
GNAQ,2776,"Homo sapiens (human)
",Long-term potentiation,hsa04720
GNAQ,2776,"Homo sapiens (human)
",Retrograde endocannabinoid signaling,hsa04723
GNAQ,2776,"Homo sapiens (human)
",Glutamatergic synapse,hsa04724
GNAQ,2776,"Homo sapiens (human)
",Cholinergic synapse,hsa04725
GNAQ,2776,"Homo sapiens (human)
",Serotonergic synapse,hsa04726
GNAQ,2776,"Homo sapiens (human)
",Dopaminergic synapse,hsa04728
GNAQ,2776,"Homo sapiens (human)
",Long-term depression,hsa04730
GNAQ,2776,"Homo sapiens (human)
",Inflammatory mediator regulation of TRP channels,hsa04750
GNAQ,2776,"Homo sapiens (human)
",Insulin secretion,hsa04911
GNAQ,2776,"Homo sapiens (human)
",GnRH signaling pathway,hsa04912
GNAQ,2776,"Homo sapiens (human)
",Estrogen signaling pathway,hsa04915
GNAQ,2776,"Homo sapiens (human)
",Melanogenesis,hsa04916
GNAQ,2776,"Homo sapiens (human)
",Thyroid hormone synthesis,hsa04918
GNAQ,2776,"Homo sapiens (human)
",Oxytocin signaling pathway,hsa04921
