疾病通路的编号,疾病名称,通路名称,时序切片,基因名称,基因ID,基因链接
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mGluR5-Ca2+ -apoptotic pathway,1,APP,351,https://www.kegg.jp/entry/hsa:351
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mGluR5-Ca2+ -apoptotic pathway,2,GRM5,2915,https://www.kegg.jp/entry/hsa:2915
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mGluR5-Ca2+ -apoptotic pathway,3,GNAQ,2776,https://www.kegg.jp/entry/hsa:2776
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mGluR5-Ca2+ -apoptotic pathway,4,PLCB1,23236,https://www.kegg.jp/entry/hsa:23236
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mGluR5-Ca2+ -apoptotic pathway,5,PLCB2,5330,https://www.kegg.jp/entry/hsa:5330
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mGluR5-Ca2+ -apoptotic pathway,6,PLCB3,5331,https://www.kegg.jp/entry/hsa:5331
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mGluR5-Ca2+ -apoptotic pathway,7,PLCB4,5332,https://www.kegg.jp/entry/hsa:5332
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mGluR5-Ca2+ -apoptotic pathway,8,ITPR1,3708,https://www.kegg.jp/entry/hsa:3708
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mGluR5-Ca2+ -apoptotic pathway,9,ITPR2,3709,https://www.kegg.jp/entry/hsa:3709
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mGluR5-Ca2+ -apoptotic pathway,10,ITPR3,3710,https://www.kegg.jp/entry/hsa:3710
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mGluR5-Ca2+ -apoptotic pathway,11,MCU,90550,https://www.kegg.jp/entry/hsa:90550
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mGluR5-Ca2+ -apoptotic pathway,12,VDAC1,7416,https://www.kegg.jp/entry/hsa:7416
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mGluR5-Ca2+ -apoptotic pathway,13,VDAC2,7417,https://www.kegg.jp/entry/hsa:7417
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mGluR5-Ca2+ -apoptotic pathway,14,VDAC3,7419,https://www.kegg.jp/entry/hsa:7419
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mGluR5-Ca2+ -apoptotic pathway,15,SLC25A4,291,https://www.kegg.jp/entry/hsa:291
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mGluR5-Ca2+ -apoptotic pathway,16,SLC25A5,292,https://www.kegg.jp/entry/hsa:292
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mGluR5-Ca2+ -apoptotic pathway,17,SLC25A6,293,https://www.kegg.jp/entry/hsa:293
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mGluR5-Ca2+ -apoptotic pathway,18,SLC25A31,83447,https://www.kegg.jp/entry/hsa:83447
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mGluR5-Ca2+ -apoptotic pathway,19,CYCS,54205,https://www.kegg.jp/entry/hsa:54205
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mGluR5-Ca2+ -apoptotic pathway,20,APAF1,317,https://www.kegg.jp/entry/hsa:317
